category,year,income,income_log
other,18,7046.246223,8.340102345
other,19,10252.50634,8.700811443
other,20,12840.60884,8.95184442
other,21,15003.52603,9.140457692
other,22,17319.22275,9.299292409
other,23,20510.2857,9.51571416
other,24,23830.66602,9.676034084
other,25,26100.34773,9.790951929
other,26,28467.94635,9.893671545
other,27,30660.33715,9.979566583
other,28,32361.77093,10.02156562
other,29,33991.08458,10.08753526
other,30,35014.28053,10.10796952
other,31,36639.56092,10.16464287
other,32,37078.49946,10.16367122
other,33,38337.94399,10.18471628
other,34,38424.66698,10.18270901
other,35,41884.37479,10.27165276
other,36,41890.56096,10.26496983
other,37,45215.12185,10.32690106
other,38,43871.42568,10.30548403
other,39,48274.84816,10.4017105
other,40,46336.19049,10.3602071
other,41,50419.87264,10.43218961
other,42,49391.91698,10.41446019
other,43,51644.79567,10.44356564
other,44,50897.43204,10.42760736
other,45,51831.67559,10.42316252
other,46,51259.39977,10.44717747
other,47,51440.0204,10.41869513
other,48,53089.00516,10.43874517
other,49,52166.15205,10.41594136
other,50,53189.92965,10.43714238
other,51,53163.03891,10.46125756
other,52,55706.62833,10.47482478
other,53,55109.07593,10.49863128
other,54,55169.87173,10.46645877
other,55,57385.21655,10.4868071
other,56,56262.69327,10.452515
other,57,55248.59013,10.44767979
other,58,55195.91587,10.46261924
other,59,56480.79488,10.49384471
other,60,55456.99152,10.42855887
other,61,58145.89216,10.38565238
other,62,56668.69367,10.31137148
teen_dad_and_teen_mom,18,6671.43175,8.315345155
teen_dad_and_teen_mom,19,9853.972965,8.69595795
teen_dad_and_teen_mom,20,12159.25892,8.900288894
teen_dad_and_teen_mom,21,13757.92631,9.018814387
teen_dad_and_teen_mom,22,16279.64033,9.24022079
teen_dad_and_teen_mom,23,20285.29765,9.50478153
teen_dad_and_teen_mom,24,23920.34463,9.677945089
teen_dad_and_teen_mom,25,25958.94812,9.788496983
teen_dad_and_teen_mom,26,28796.45736,9.889206984
teen_dad_and_teen_mom,27,31160.05217,9.986328805
teen_dad_and_teen_mom,28,31703.87294,9.989322853
teen_dad_and_teen_mom,29,33561.35893,10.08959047
teen_dad_and_teen_mom,30,33766.70594,10.06314423
teen_dad_and_teen_mom,31,34955.33571,10.14289059
teen_dad_and_teen_mom,32,36835.055,10.1871313
teen_dad_and_teen_mom,33,34691.07794,10.07863281
teen_dad_and_teen_mom,34,38480.42242,10.20855537
teen_dad_and_teen_mom,35,39123.14159,10.21108155
teen_dad_and_teen_mom,36,38961.2492,10.19201319
teen_dad_and_teen_mom,37,42654.17835,10.20901828
teen_dad_and_teen_mom,38,44225.12205,10.2270931
teen_dad_and_teen_mom,39,47809.13742,10.38254839
teen_dad_and_teen_mom,40,44021.33064,10.32967858
teen_dad_and_teen_mom,41,46651.85227,10.42824216
teen_dad_and_teen_mom,42,48956.12263,10.38393635
teen_dad_and_teen_mom,43,46043.29963,10.34570959
teen_dad_and_teen_mom,44,52441.35656,10.40337196
teen_dad_and_teen_mom,45,50479.44388,10.40645688
teen_dad_and_teen_mom,46,54696.57723,10.44278982
teen_dad_and_teen_mom,47,55824.84543,10.47945825
teen_dad_and_teen_mom,48,50629.25167,10.31195654
teen_dad_and_teen_mom,49,57219.02744,10.48388823
teen_dad_and_teen_mom,50,52980.89706,10.46417843
teen_dad_and_teen_mom,51,60160.8211,10.5607349
teen_dad_and_teen_mom,52,50587.20028,10.35877836
teen_dad_and_teen_mom,53,62148.19588,10.49829945
teen_dad_and_teen_mom,54,57437.95316,10.5121302
teen_dad_and_teen_mom,55,59885.85745,10.51304289
teen_dad_and_teen_mom,56,58185.27551,10.45584877
teen_dad_and_teen_mom,57,62901.09398,10.68714948
teen_dad_and_teen_mom,58,58559.7756,10.45971555
teen_dad_and_teen_mom,59,63078.06214,10.45946655
teen_dad_and_teen_mom,60,47812.60603,10.16858054
teen_dad_and_teen_mom,61,70181.77614,10.61021752
teen_dad_and_teen_mom,62,49709.65221,10.03037582
teen_dad_not_teen_mom,18,8743.839233,8.463276987
teen_dad_not_teen_mom,19,9987.230047,8.63700945
teen_dad_not_teen_mom,20,13962.04791,8.998755223
teen_dad_not_teen_mom,21,15801.0114,9.01184007
teen_dad_not_teen_mom,22,17309.3577,9.375338992
teen_dad_not_teen_mom,23,20272.22099,9.6013982
teen_dad_not_teen_mom,24,23210.04461,9.676385621
teen_dad_not_teen_mom,25,25631.40688,9.725859752
teen_dad_not_teen_mom,26,27858.79468,9.89034093
teen_dad_not_teen_mom,27,31239.65257,10.01613172
teen_dad_not_teen_mom,28,33055.33297,10.14344952
teen_dad_not_teen_mom,29,37299.50577,10.32134105
teen_dad_not_teen_mom,30,37911.76546,10.34512543
teen_dad_not_teen_mom,31,38694.90924,10.31623021
teen_dad_not_teen_mom,32,35165.17212,10.10549846
teen_dad_not_teen_mom,33,39372.30227,10.36972296
teen_dad_not_teen_mom,34,37995.98139,10.29631683
teen_dad_not_teen_mom,35,42248.25665,10.29771779
teen_dad_not_teen_mom,36,41884.56661,10.42245195
teen_dad_not_teen_mom,37,47343.6696,10.44924843
teen_dad_not_teen_mom,38,45992.25233,10.46091537
teen_dad_not_teen_mom,39,46144.06591,10.49519927
teen_dad_not_teen_mom,40,44833.33082,10.51177343
teen_dad_not_teen_mom,41,46882.43255,10.42806618
teen_dad_not_teen_mom,42,51441.83522,10.56435633
teen_dad_not_teen_mom,43,56767.50065,10.60905771
teen_dad_not_teen_mom,44,49383.92898,10.51849358
teen_dad_not_teen_mom,45,60130.67126,10.65720574
teen_dad_not_teen_mom,46,55011.52166,10.55373102
teen_dad_not_teen_mom,47,57145.91066,10.42912389
teen_dad_not_teen_mom,48,50780.34489,10.61362816
teen_dad_not_teen_mom,49,52353.84223,10.49944488
teen_dad_not_teen_mom,50,49575.68524,10.5909207
teen_dad_not_teen_mom,51,48703.69471,10.213237
teen_dad_not_teen_mom,52,53038.23911,10.66020366
teen_dad_not_teen_mom,53,56455.21955,10.31701192
teen_dad_not_teen_mom,54,52324.60045,10.56282715
teen_dad_not_teen_mom,55,58804.28956,10.36924096
teen_dad_not_teen_mom,56,54495.28116,10.61586382
teen_dad_not_teen_mom,57,42561.99685,9.873541969
teen_dad_not_teen_mom,58,55203.48417,10.79052704
teen_dad_not_teen_mom,59,78253.18409,10.45578481
teen_dad_not_teen_mom,60,48765.38517,10.70631859
teen_dad_not_teen_mom,61,19830.40602,9.885105068
teen_dad_not_teen_mom,62,44405.18337,10.59372653
teen_mom_not_teen_dad,18,6828.424086,8.305017964
teen_mom_not_teen_dad,19,10188.95021,8.688720587
teen_mom_not_teen_dad,20,12684.70374,8.92348644
teen_mom_not_teen_dad,21,14811.03681,9.132209267
teen_mom_not_teen_dad,22,17020.22787,9.285819321
teen_mom_not_teen_dad,23,20489.08732,9.483884903
teen_mom_not_teen_dad,24,23563.96856,9.656115485
teen_mom_not_teen_dad,25,25508.41789,9.732070854
teen_mom_not_teen_dad,26,27567.11452,9.812947965
teen_mom_not_teen_dad,27,29973.14237,9.931823896
teen_mom_not_teen_dad,28,31194.70085,10.00560299
teen_mom_not_teen_dad,29,33325.65759,10.04155016
teen_mom_not_teen_dad,30,34657.28925,10.08851873
teen_mom_not_teen_dad,31,35156.14754,10.11210999
teen_mom_not_teen_dad,32,37972.90515,10.16967478
teen_mom_not_teen_dad,33,36265.47612,10.13104058
teen_mom_not_teen_dad,34,39926.25986,10.26310755
teen_mom_not_teen_dad,35,38226.93152,10.18793386
teen_mom_not_teen_dad,36,43155.02308,10.35272746
teen_mom_not_teen_dad,37,42151.46344,10.27313831
teen_mom_not_teen_dad,38,45956.44738,10.3427677
teen_mom_not_teen_dad,39,42236.71153,10.26759505
teen_mom_not_teen_dad,40,48118.0364,10.35498545
teen_mom_not_teen_dad,41,43705.20554,10.34600616
teen_mom_not_teen_dad,42,50435.12769,10.43665478
teen_mom_not_teen_dad,43,43282.76756,10.28047877
teen_mom_not_teen_dad,44,50644.53912,10.40797229
teen_mom_not_teen_dad,45,48188.20139,10.33141597
teen_mom_not_teen_dad,46,52917.05056,10.41955459
teen_mom_not_teen_dad,47,49164.08222,10.38080736
teen_mom_not_teen_dad,48,50930.46622,10.47986871
teen_mom_not_teen_dad,49,46979.58603,10.30547157
teen_mom_not_teen_dad,50,49356.7468,10.40519708
teen_mom_not_teen_dad,51,46897.37518,10.29505588
teen_mom_not_teen_dad,52,53203.6149,10.45527637
teen_mom_not_teen_dad,53,49190.31577,10.39394361
teen_mom_not_teen_dad,54,52253.00691,10.40622862
teen_mom_not_teen_dad,55,48832.55914,10.42251737
teen_mom_not_teen_dad,56,56667.32799,10.47722274
teen_mom_not_teen_dad,57,50831.02706,10.4040159
teen_mom_not_teen_dad,58,51615.8773,10.40622243
teen_mom_not_teen_dad,59,52272.85361,10.42156109
teen_mom_not_teen_dad,60,48101.51001,10.31410109
teen_mom_not_teen_dad,61,55709.73732,10.15122586
teen_mom_not_teen_dad,62,45353.23268,10.19856427