                    ,-2,-3,-4,-5,-6,-7
                    ,HGC,HGC,HGC,HGC,HGC,HGC
,,,,,,
teen_mom            ,-0.61**,-0.38**,-0.26*,-0.1,-0.11,-0.38
                    ,-0.29,-0.19,-0.14,-0.09,-0.12,-0.24
,,,,,,
female              ,0.65**,1.16***,0.75***,0.54***,0.26***,0.21
                    ,-0.27,-0.21,-0.13,-0.07,-0.1,-0.19
,,,,,,
dad HGC ,0.22,0.33***,0.34***,0.41***,0.15**,0.27**
                    ,-0.19,-0.13,-0.09,-0.06,-0.07,-0.14
,,,,,,
mom HGC               ,0.21***,0.27***,0.23***,0.21***,0.22***,0.11***
                    ,-0.07,-0.05,-0.03,-0.02,-0.02,-0.04
,,,,,,
dad age     ,0.19***,0.13***,0.12***,0.10***,0.15***,0.21***
                    ,-0.07,-0.05,-0.04,-0.02,-0.03,-0.05
,,,,,,
mom age             ,0,0,0.01,0.02***,0.02***,0.02
                    ,-0.02,-0.01,-0.01,-0.01,-0.01,-0.02
,,,,,,
black               ,0.01,0.02,0.03***,0.03***,0.03***,0.01
                    ,-0.02,-0.02,-0.01,-0.01,-0.01,-0.02
,,,,,,
#sibling            ,-0.17***,-0.17***,-0.17***,-0.17***,-0.17***,-0.17***
                    ,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
,,,,,,
#sibling in school     ,0.20***,0.20***,0.20***,0.20***,0.20***,0.20***
                    ,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
,,,,,,
cultural index  ,2.16***,1.70***,1.27***,0.80***,0.96***,1.24***
                    ,-0.32,-0.21,-0.16,-0.1,-0.14,-0.31
,,,,,,
urban at 14         ,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
                    ,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
,,,,,,
age_indepent,-0.02,0.02,0.04***,0.03***,0.01,-0.01
                    ,-0.03,-0.02,-0.01,-0.01,-0.01,-0.02
,,,,,,
mom work index,-0.18,0,-0.04,-0.02,0.05,-0.02
                    ,-0.12,-0.08,-0.06,-0.03,-0.04,-0.08
,,,,,,
dad work index ,-0.14***,-0.14***,-0.14***,-0.14***,-0.14***,-0.14***
                    ,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
,,,,,,
Constant            ,2.47***,0.09,-1.12***,-3.82***,-5.49***,-6.18***
                    ,-0.89,-0.51,-0.39,-0.26,-0.32,-0.6
,,,,,,
,,,,,,
Observations        ,5843,,,,,
,,,,,,
Standard errors in parentheses,,,,,,
"=""* p<0.1", ** p<0.05," *** p<0.01""",,,,