,(1),(2),(3),(4),(5)
,lnavginc,income_18,income_20,income_25,income_30
,,,,,
hgc,0.02*,-7.6,13.97,247.40,624.84*
,(0.01),-123.72,(156.68),(229.82),(360.96)
,,,,,
teen_mom,-0.04*,-666.59**,-550.82,-531.91,-591.08
,(0.02),-318.1,(398.82),(597.93),(945.73)
,,,,,
outgoingness,0.02,264.28,227.88,492.02,961.42*
,(0.01),-185.29,(231.34),(344.81),(550.22)
,,,,,
mental score,0.02,5.68,10.88,-17.20,26.59
,(0.00),-16.34,(19.93),(29.86),(47.74)
,,,,,
physical score,0.01,-1.58,-16.81,22.16,14.20
,(0.00),-16.99,(21.01),(30.79),(48.40)
,,,,,
Other controls and constant truncated,,,,,
Standard errors in parentheses,,,,,
* p<0.1, ** p<0.05," *** p<0.01""",,,